id;customer;createdAt;totalAmount;status;salesChannel
MOCK_ORD_10000;CUST_8681;01/12/2024 19:50;267,57;CONCLUDED;Telefone
MOCK_ORD_10001;CUST_3058;19/07/2024 10:47;81,47;CONCLUDED;Telefone
MOCK_ORD_10002;CUST_9356;01/07/2024 09:05;72,17;CANCELED;Telefone
MOCK_ORD_10003;CUST_3522;25/01/2025 08:06;157,6;CONCLUDED;iFood
MOCK_ORD_10004;CUST_9901;12/08/2025 03:22;342,51;CONCLUDED;iFood
MOCK_ORD_10005;CUST_7949;10/01/2024 09:53;83,83;CONCLUDED;WhatsApp
MOCK_ORD_10006;CUST_3524;27/07/2025 05:24;340,25;DISPATCHED;Telefone
MOCK_ORD_10007;CUST_4045;29/03/2025 12:39;321,8;CONCLUDED;WhatsApp
MOCK_ORD_10008;CUST_4655;01/03/2025 13:35;225,27;CONCLUDED;iFood
MOCK_ORD_10009;CUST_2067;29/02/2024 09:37;177,99;CONCLUDED;iFood
MOCK_ORD_10010;CUST_2694;17/05/2024 02:34;349,37;CONCLUDED;App Proprio
MOCK_ORD_10011;CUST_4546;29/05/2024 11:03;110,25;DISPATCHED;Telefone
MOCK_ORD_10012;CUST_8634;03/03/2025 17:45;161,73;CANCELED;Website
MOCK_ORD_10013;CUST_8461;04/01/2024 13:51;51,24;CONCLUDED;Telefone
MOCK_ORD_10014;CUST_6380;13/06/2024 12:36;112,36;CONCLUDED;Telefone
MOCK_ORD_10015;CUST_7257;10/05/2025 19:26;257,22;CONCLUDED;App Proprio
MOCK_ORD_10016;CUST_6856;24/04/2024 16:16;240,06;CANCELED;Website
MOCK_ORD_10017;CUST_9912;05/12/2024 00:02;73,74;CONCLUDED;App Proprio
MOCK_ORD_10018;CUST_6033;30/06/2025 05:03;119,9;CONCLUDED;App Proprio
MOCK_ORD_10019;CUST_6340;14/12/2023 03:18;122,36;CONCLUDED;iFood
MOCK_ORD_10020;CUST_8537;04/12/2023 14:16;141,48;DISPATCHED;App Proprio
MOCK_ORD_10021;CUST_8134;07/05/2025 20:14;277,05;CANCELED;Telefone
MOCK_ORD_10022;CUST_6057;03/04/2024 23:31;296,92;CONCLUDED;Telefone
MOCK_ORD_10023;CUST_6073;14/02/2025 23:09;46,1;CONCLUDED;App Proprio
MOCK_ORD_10024;CUST_7661;12/02/2025 02:10;60,82;CONCLUDED;WhatsApp
MOCK_ORD_10025;CUST_3798;24/05/2024 22:10;130,02;CONCLUDED;App Proprio
MOCK_ORD_10026;CUST_8365;21/05/2025 07:55;235,29;CONCLUDED;App Proprio
MOCK_ORD_10027;CUST_9104;10/04/2024 04:56;20,35;CANCELED;Telefone
MOCK_ORD_10028;CUST_8681;22/05/2024 15:06;70,41;CONCLUDED;Telefone
MOCK_ORD_10029;CUST_5812;01/08/2025 00:59;59,92;CONCLUDED;WhatsApp
MOCK_ORD_10030;CUST_2625;03/10/2025 19:23;129,78;DISPATCHED;App Proprio
MOCK_ORD_10031;CUST_3773;01/08/2025 10:52;219,33;CONCLUDED;Website
MOCK_ORD_10032;CUST_3697;26/08/2024 18:47;161,37;CONCLUDED;Telefone
MOCK_ORD_10033;CUST_4045;16/08/2025 06:46;21,17;CONCLUDED;App Proprio
MOCK_ORD_10034;CUST_5658;23/12/2024 06:29;246,4;CANCELED;WhatsApp
MOCK_ORD_10035;CUST_6262;29/03/2024 00:06;124,79;CONCLUDED;App Proprio
MOCK_ORD_10036;CUST_8365;04/11/2024 05:28;53,23;CONCLUDED;Website
MOCK_ORD_10037;CUST_8674;14/08/2025 16:43;35,27;CONCLUDED;WhatsApp
MOCK_ORD_10038;CUST_4132;27/09/2025 13:02;324,23;DISPATCHED;Telefone
MOCK_ORD_10039;CUST_4026;28/07/2024 00:10;148,41;CONCLUDED;Website
MOCK_ORD_10040;CUST_5102;26/03/2024 15:00;211,47;CONCLUDED;Website
MOCK_ORD_10041;CUST_1047;30/09/2025 19:10;80,5;DISPATCHED;App Proprio
MOCK_ORD_10042;CUST_2037;26/04/2025 01:45;341,57;CONCLUDED;iFood
MOCK_ORD_10043;CUST_4257;19/06/2024 18:24;304,25;CANCELED;App Proprio
MOCK_ORD_10044;CUST_3974;21/02/2025 08:54;308,06;CONCLUDED;WhatsApp
MOCK_ORD_10045;CUST_9593;04/06/2024 10:50;155,25;CONCLUDED;Website
MOCK_ORD_10046;CUST_1609;15/04/2024 09:49;342,54;CONCLUDED;iFood
MOCK_ORD_10047;CUST_9872;02/08/2024 16:32;88,18;CANCELED;iFood
MOCK_ORD_10048;CUST_5527;05/08/2025 14:15;283,12;CONCLUDED;iFood
MOCK_ORD_10049;CUST_7022;05/01/2025 07:11;231,82;CONCLUDED;Telefone
MOCK_ORD_10050;CUST_6257;11/12/2023 17:45;97,24;CONCLUDED;Website
MOCK_ORD_10051;CUST_2507;16/03/2025 16:12;169,97;CONCLUDED;Website
MOCK_ORD_10052;CUST_6296;13/05/2024 01:35;138,29;CONCLUDED;Telefone
MOCK_ORD_10053;CUST_2624;11/09/2024 00:48;58,96;CANCELED;Website
MOCK_ORD_10054;CUST_4314;05/05/2025 10:05;157,09;CONCLUDED;Website
MOCK_ORD_10055;CUST_8867;21/10/2024 12:29;200,29;CONCLUDED;iFood
MOCK_ORD_10056;CUST_4686;16/06/2024 04:42;35,96;DISPATCHED;Telefone
MOCK_ORD_10057;CUST_6240;25/11/2023 20:58;189,68;CONCLUDED;WhatsApp
MOCK_ORD_10058;CUST_1380;01/01/2024 08:41;313,56;CONCLUDED;WhatsApp
MOCK_ORD_10059;CUST_9960;18/12/2023 12:53;159,57;DISPATCHED;WhatsApp
MOCK_ORD_10060;CUST_4910;17/02/2024 00:52;298,26;CANCELED;Telefone
MOCK_ORD_10061;CUST_3471;01/03/2024 14:51;311,88;CONCLUDED;iFood
MOCK_ORD_10062;CUST_4576;30/09/2024 01:25;214,05;DISPATCHED;WhatsApp
MOCK_ORD_10063;CUST_4546;29/01/2025 10:28;344,19;CONCLUDED;iFood
MOCK_ORD_10064;CUST_5812;23/04/2025 06:35;252,44;CONCLUDED;Telefone
MOCK_ORD_10065;CUST_6316;17/06/2025 10:55;233,76;CANCELED;iFood
MOCK_ORD_10066;CUST_8611;25/04/2025 04:52;43,82;CONCLUDED;Telefone
MOCK_ORD_10067;CUST_5527;08/06/2024 03:00;183,66;CONCLUDED;Website
MOCK_ORD_10068;CUST_1037;12/08/2024 07:36;329,74;CONCLUDED;Telefone
MOCK_ORD_10069;CUST_2471;19/08/2024 08:40;211,73;CONCLUDED;Telefone
MOCK_ORD_10070;CUST_7515;06/12/2023 04:25;130,92;CONCLUDED;Website
MOCK_ORD_10071;CUST_8867;15/12/2023 01:48;266,18;CANCELED;Website
MOCK_ORD_10072;CUST_5655;23/03/2025 19:49;76,07;CONCLUDED;Telefone
MOCK_ORD_10073;CUST_2800;28/05/2025 04:26;214,64;CONCLUDED;iFood
MOCK_ORD_10074;CUST_4921;10/07/2024 01:40;321,39;CANCELED;WhatsApp
MOCK_ORD_10075;CUST_6011;13/12/2023 09:33;109,6;CONCLUDED;iFood
MOCK_ORD_10076;CUST_6855;03/03/2025 01:57;79,97;DISPATCHED;App Proprio
MOCK_ORD_10077;CUST_7685;19/09/2025 01:37;80,15;CONCLUDED;Telefone
MOCK_ORD_10078;CUST_6262;22/09/2025 10:00;236,35;CONCLUDED;iFood
